Unknown,4,1,2,7,3,3,4,5,2,5,5,3,5,4,3,1,6,3,1,7,3,7,1,2,3,7,2,5,3,7,
Unknown,6,2,7,2,7,7,7,7,6,3,2,2,6,2,2,6,7,6,5,1,7,5,1,6,1,6,2,4,1,7,
Use the bookshelf,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,
Use the bookshelf,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,1,1,3,3,3,3,3,3,
Use the bookshelf,3,3,1,1,1,1,1,1,7,7,7,7,7,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,
Use the bookshelf,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,
Use the bookshelf,1,4,4,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,4,4,4,4,4,4,1,
Use the bookshelf,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,
Use the bookshelf,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,
Use the bookshelf,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,
Use the bookshelf,5,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,
Use the bookshelf,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,
Use the bookshelf,1,1,7,7,7,7,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,
Use the bookshelf,7,7,7,7,7,7,7,7,7,1,1,1,1,1,6,6,6,6,6,6,6,1,1,1,1,1,1,2,2,2,
Use the bookshelf,2,2,2,2,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,
Unknown,5,6,5,4,6,6,3,7,2,4,4,4,7,3,5,4,2,7,7,7,3,5,5,7,5,1,6,5,6,7,
Use the bookshelf,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,6,6,6,6,1,1,1,1,1,1,1,1,
Use the bookshelf,1,1,1,1,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,
Use the bookshelf,1,1,1,3,3,3,3,1,1,1,1,1,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,6,6,
Use the bookshelf,6,6,6,6,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,3,3,3,
Use the bookshelf,3,3,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,
Use the bookshelf,3,3,3,3,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,1,1,1,1,1,1,7,7,7,7,7,
Use the bookshelf,7,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,
Use the bookshelf,4,4,4,4,4,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,
Use the bookshelf,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,
Use the bookshelf,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,3,3,3,1,1,1,1,
Use the bookshelf,1,7,7,7,7,7,7,7,1,1,1,1,2,2,2,2,1,1,1,1,1,3,3,3,3,3,3,1,1,1,
Use the bookshelf,1,1,2,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,3,3,
Use the bookshelf,3,3,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,7,7,
Use the bookshelf,7,7,7,7,1,1,1,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,
Use the bookshelf,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,2,2,2,
Use the bookshelf,2,2,2,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,7,7,7,7,1,1,1,1,1,1,1,1,
Use the bookshelf,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,1,
Use the bookshelf,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,
Use the bookshelf,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,4,4,4,4,1,1,1,1,
Unknown,5,4,1,1,5,5,3,7,3,2,3,6,2,1,2,1,6,1,5,4,3,1,6,1,2,3,5,5,5,4,
Use the bookshelf,1,1,7,7,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,5,
Use the bookshelf,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,
Use the bookshelf,1,2,2,2,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,1,1,1,3,3,3,3,3,
Use the bookshelf,3,1,1,1,7,7,7,7,7,7,7,7,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,
Use the bookshelf,1,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,7,7,7,1,1,1,1,1,7,7,7,7,7,7,
Use the bookshelf,7,7,7,7,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,6,6,6,6,6,6,
Use the bookshelf,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,1,1,1,1,
Use the bookshelf,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,4,4,4,
Unknown,3,7,3,4,3,2,6,7,6,5,1,6,4,1,6,5,4,3,1,1,7,4,7,2,4,6,6,6,7,3,
Use the bookshelf,4,4,4,4,1,1,1,1,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,
Use the bookshelf,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,1,1,1,1,1,1,
Use the bookshelf,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,1,1,1,1,
Use the bookshelf,1,1,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,
Use the bookshelf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,7,7,7,7,
Use the bookshelf,1,1,1,1,1,1,1,2,2,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,
Use the bookshelf,2,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,
Use the bookshelf,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,
Use the bookshelf,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,
Use the bookshelf,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,
Use the bookshelf,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,1,1,1,
Use the bookshelf,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,1,1,1,4,4,4,4,4,4,1,1,1,1,1,
Use the bookshelf,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,
Use the bookshelf,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,6,6,6,6,
